RegionID,RegionName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
102001,United States,0,174900,174900,174900,175000,175300,175600,176100,176600,177300,178000,178700,179400,180000,180500,181100,181700,182100,182600,183000,183300,183700,184000,184400,184700,185200,185700,186500,187400,188300,189400,190400,191500,192500,193500,194500,195500,196500,197600,198700,200000,201400,202800,204300,205900,207700,209500,211200,212800,214200,215500,216700,217800,218900,219900,221100,222200,223500,224800,226000,227200,228500,229700,231000,232200,233500,234700,236000,237300,238600,239900,241300,242600,243800,245000,246100,247300,248500,249800,251200,252600,254200,255700,257200,258700,260200,261800,263400,265000,266700,268500,270400,272500,274600,277000,279400,282000,284700,287500,290500,293600,296800,299900,303100,306100,309000,311800,314800,318100,321700,325400,329300,333100,336800,340300,343500,346600,349400,352000,354100,356100,358200,359900,361400,362500,363100,363500,363600,363600,363600,363700,363600,363500,363300,362700,361700,360500,358900,357200,355200,353000,350600,348000,345300,342500,339700,336800,333800,330900,328100,325400,323000,320600,318400,316400,314200,312000,309600,306900,304200,302200,300900,300000,299300,298800,298400,298200,298700,298200,296500,295300,294600,293400,291700,290100,288700,287300,285700,284100,282600,281500,280600,279900,279200,278500,277900,277400,277000,276900,276900,276900,276800,277100,278000,278900,279800,280700,281800,282700,283600,284800,286300,287500,288600,290200,292200,294100,296100,298300,300500,302400,304000,305300,306300,307600,309000,310100,311400,312700,314000,315300,316600,317800,318800,319700,320700,321700,322600,323700,324900,326400,327700,329000,330300,331500,332700,333900,335200,336300,337600,339100,340900,342400,343900,345400,346900,348200,349600,351400,353200,354700,356100,357900,359600,361100,362200,363000,364000,365200,366500,367800,369200,371100,373500,375300,376700,378100,379200,380200,381200,382500,383800
394913,"New York, NY",1,268000,267900,267600,267300,267000,266800,266900,267000,267500,268300,269100,269600,270200,270900,271600,272300,273200,274000,275100,276300,277900,279600,281100,282300,283600,285000,286600,288300,290200,292200,294300,296500,298900,301400,303900,306300,309200,312300,315700,319100,322600,326000,329500,332900,336800,340900,345100,349200,353300,357500,361500,365600,369500,373300,377100,381000,385000,389200,393400,397600,401900,406200,410400,414600,418800,422900,427100,431300,435200,438800,441900,444600,447200,450000,453200,456800,460800,465200,470100,475400,481200,487400,493900,500700,507400,513600,519300,524600,529500,533900,538100,542300,546600,551200,555900,561000,566500,572400,578900,586000,593500,601300,609100,616500,623800,630600,636900,643300,650000,656600,663000,669300,675400,681500,687300,692700,697700,702100,705800,709100,712300,714700,716200,716800,716400,715000,712900,710400,708100,706200,704500,703400,702500,701000,698700,696300,694200,692700,691300,689900,688600,687200,685100,683100,680700,677200,672900,668300,663700,659500,655300,651300,647600,644000,640300,636700,633000,628400,623300,619100,616100,614400,613500,613600,613400,613700,615400,614400,610100,607600,608200,608300,607100,604600,602200,599900,597400,594800,592300,590500,590300,590900,591600,591600,591200,591200,591100,590200,588900,587600,586000,585600,586100,586800,587500,588400,589000,589500,590100,591100,592200,593400,594900,596900,599400,601500,603300,605900,609000,611400,613500,616200,619700,622600,624300,625800,628200,630900,633100,635300,638300,641400,643700,646200,648600,651000,653100,655100,657000,659000,661200,664000,667100,670000,672100,673200,674500,676300,678700,681000,682800,683600,684200,685300,687400,689400,691400,694300,698000,700800,703100,706700,711800,717000,721700,725800,729100,732700,735900,737300,738000,740600,744800,749000,751700,753500,755000,755700,755300,755700,757400
753899,"Los Angeles-Long Beach-Anaheim, CA",2,290400,290100,289900,289800,289700,289900,290300,291000,292100,293400,294500,295500,296500,297800,299500,301600,304000,306800,309900,313500,317700,322300,326700,330600,334400,338000,341400,344900,348300,351700,355200,358900,362900,366900,370500,373700,376700,379500,382100,384500,386700,388900,391300,393800,396900,400300,403700,406900,410000,413200,416500,419700,423000,426300,429800,433500,437400,441400,445300,448900,452500,455800,459100,462200,465400,468600,472100,475700,479500,483600,487900,492700,497800,503600,510100,517200,524700,532600,540900,549200,557400,565100,572500,580100,588000,596200,605100,614700,625000,635700,646900,658400,670500,683600,697800,713500,730400,747600,764300,779400,792300,803100,812200,820000,827200,834400,841300,848200,854900,861300,867900,875000,882400,890000,897300,904100,910100,915600,920400,924800,928300,930500,931300,930300,927200,923000,918400,913600,909200,905200,901000,896000,890100,883500,876200,868100,859200,850400,842200,834100,825600,816400,806200,795000,783300,772400,763300,756600,751800,748600,745800,743500,741600,739800,737100,733200,728100,722300,718300,717700,719400,722000,725000,727900,730000,731700,732700,731000,730300,731600,730600,726100,723200,720500,716700,711700,706900,702600,699200,696800,694600,691700,689700,688600,685800,682100,679500,678200,677500,676900,676900,678900,682900,688100,692900,697500,701900,707500,714400,722800,731500,740000,750300,764400,779600,793300,805600,815700,823000,827900,831400,833800,835000,836600,840200,844400,847700,850600,853500,856900,859700,861900,864300,867500,871200,875900,880700,885500,890000,894200,897900,902100,906800,912700,918600,924200,930700,935900,938200,940400,942900,944400,946700,951200,957400,963700,969400,975000,981000,986300,990900,994800,998600,1003500,1009300,1014900,1021300,1028800,1036400,1043700,1051000,1062000,1075400,1084800,1089800,1094700,1099800,1104200,1108900,1112900,1116700
394463,"Chicago, IL",3,221900,222800,223400,223500,223000,222100,220900,219300,218000,217000,215700,214300,212900,211600,210200,208800,207300,206100,205700,206100,207800,210300,213000,215500,218200,220900,223800,226700,229600,232500,235200,237400,239300,240900,241800,242000,242300,242800,243600,244700,246100,247700,249500,251500,253900,256700,259300,261700,264200,266800,269400,272000,274700,277200,279500,281600,283500,285400,287000,288300,289600,291000,292300,293900,295700,297600,299600,301600,303500,305500,307300,309200,311100,312900,314700,316400,318100,319800,321500,323300,325100,326900,328600,330400,332200,333900,335600,337300,339100,340800,342700,344600,346700,348900,351100,353400,355700,358200,360800,363600,366300,369100,371900,374600,377400,380100,382700,385500,388500,391600,394600,397600,400500,403400,406200,408800,411300,413500,415400,417400,419500,421300,422600,423700,424400,424800,425100,425200,425400,425700,425600,425200,424800,423700,422100,420600,419000,417700,416500,414900,413100,410900,408000,405200,402400,399100,395500,391700,387800,384400,381400,378400,375600,372900,370000,366700,363000,358600,354300,351200,349400,348200,347400,346900,345900,345600,347100,346300,342700,340700,339800,337600,334800,331500,328100,325500,322900,321200,320100,318800,317300,315900,314300,313700,313200,312000,310600,309600,309400,307800,305100,303800,304700,306000,307400,308200,308800,310000,311200,312000,313100,314000,314800,316500,319100,321800,324800,328700,332000,334600,336300,337100,337700,338600,339400,340500,342300,344200,346000,347800,349200,349900,350000,350100,350200,350200,350300,351100,352700,354000,354800,355300,355800,356600,357900,359200,359700,359700,360100,361200,362200,363300,364300,364700,365200,366200,367300,368400,369600,370400,371400,372500,373200,373600,373600,373400,373500,374000,375100,376500,377000,378400,381400,383900,384700,385000,384500,383700,383600,383800,384200
394514,"Dallas-Fort Worth, TX",4,217300,217600,218200,218800,219400,219900,220100,219800,219000,217600,216100,214900,214100,213800,214000,214500,215200,216400,217900,219800,222100,224700,226900,228300,228400,227500,226000,224600,223500,223200,223900,225800,229000,233000,236900,240100,242200,243200,243200,242600,241500,240300,239400,239000,239300,240200,241200,242100,242800,243200,243500,243800,244200,244700,245200,245700,246300,246800,247100,247300,247300,247200,247100,246800,246300,245500,244500,243200,241800,240400,239300,238600,238600,239000,239800,240700,241700,242500,243000,243200,242800,242100,241100,240200,239600,239500,239600,239900,240100,240300,240500,240700,241100,242100,243600,245400,247000,248400,249500,250400,251300,252400,253600,254900,256200,257400,258400,259500,260700,262000,263500,264800,266000,267000,268000,268900,270000,271100,272300,273400,274400,275300,276000,276700,277300,277900,278400,278900,279100,279100,279000,279100,279300,279600,280100,280700,281300,281800,282300,282500,282200,281400,280200,278800,277200,275700,274400,273400,272600,272000,271300,270800,270200,269700,269200,268700,268000,267200,266500,266100,265900,265800,265700,265700,265700,265600,265800,265700,265300,265100,264800,264300,264200,264100,263700,263100,262900,262800,262400,261700,261200,261200,261300,260900,260400,260400,260700,260800,260800,261000,261200,262000,263200,264200,264800,265300,265600,265600,265900,266700,267500,268200,268800,269700,271000,272400,274000,275700,277400,279000,280300,281700,283100,284300,285700,287100,288200,289200,290500,292500,294800,296900,298600,300100,301800,303600,305300,307300,309800,312200,314400,316400,318300,320200,322300,324500,326800,328800,331000,333800,337000,340200,344000,348100,351500,354300,357100,359900,362500,364900,367400,369700,372000,373600,375000,376600,378400,380200,381800,383100,384200,386600,390100,393200,394900,396200,396600,396200,395700,396000,397000
394974,"Philadelphia, PA",5,187000,186700,186400,185900,185600,185400,185400,185500,185800,186200,186500,186800,187000,187200,187400,187500,187600,187700,187900,188200,188500,188900,189400,189800,190100,190500,190900,191300,191800,192200,192800,193500,194200,195100,195800,196500,197400,198400,199500,200800,202200,203600,205100,206700,208500,210400,212200,213800,215500,217000,218500,219900,221200,222600,223900,225400,227000,228800,230600,232500,234200,235900,237700,239400,241000,242700,244400,246300,248200,250200,252300,254500,256800,259100,261600,264200,266900,269800,272900,276100,279300,282300,285200,287900,290800,293600,296500,299600,302800,306100,309300,312500,315500,318600,321800,325300,328900,332700,336700,340500,344200,347700,350900,354100,357300,360400,363400,366300,369200,372200,375400,378700,382200,385500,388600,391400,394000,396200,398200,400100,401900,403300,404400,405200,405800,405900,405900,405500,405200,405000,404700,404500,404400,404100,403400,402500,401500,400400,399100,397600,396000,394300,392300,390500,389100,387600,386000,384500,382900,381100,379600,378000,376700,375600,374300,372800,371200,369200,366900,365000,363600,362600,362100,361900,361300,361300,362300,361900,359700,358600,358300,356800,354700,352900,351400,349800,348200,346600,345000,343900,343200,342200,340900,339800,338700,337700,337000,337000,336800,335900,335200,335500,335800,335600,335300,335400,335600,335800,335900,335900,336400,337000,337500,338300,339300,340200,341500,343100,345000,346800,348200,349200,350400,351500,352000,351900,352600,354000,355200,356200,357300,358300,358900,359100,359200,359200,359000,359100,360000,361100,362000,362800,363400,363700,364100,364400,364800,365700,367100,368200,368800,369300,370100,371500,372900,373800,374700,375100,375300,375800,376800,378000,379300,381100,382400,383100,384000,384800,385800,388000,391000,393200,394300,395200,396000,396600,397600,398800,399800,400600,401200
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,204200,206500,209200,212200,215300,218100,220100,221000,221000,220200,218900,217700,217000,217400,219400,223200,229200,236500,243800,250300,255000,257500,258300,257800,256300,254300,252000,250600,251000,253700,258300,263700,268900,272800,274900,274900,273100,269800,265700,261400,257500,254200,251400,249000,247000,245400,244300,243600,243400,243600,243800,243700,243200,242200,240700,239100,238000,237700,238000,238700,239600,240600,241400,241900,241800,241400,240800,240100,239400,239100,239000,239300,239800,240400,241000,241500,241700,241800,242000,242500,243300,244400,245800,247300,248900,250700,252500,254400,256400,258200,259700,260900,261800,262400,262800,263100,263400,263600,263700,263800,264000,264200,264500,264900,265400,266100,266900,267900,268900,270100,271300,272500,273600,274500,275100,275400,275800,276100,276500,276900,277300,277600,277900,278100,277800,277100,275900,274400,273000,271700,270600,269800,269400,269000,268500,268100,267900,267600,267200,266800,266600,266200,265800,265800,265900,266100,266300,266500,266600,266700,266700,266700,266600,266300,265900,265100,264200,263700,263300,262400,261300,260700,260600,260700,260800,261200,261300,260900,260400,259800,259500,259800,259900,260000,260500,260700,260600,260700,261300,262100,263200,264000,264400,264900,265700,266700,267900,269200,270600,272200,274500,277000,279400,281600,283600,285500,287300,288900,290300,292000,294100,296100,297900,300000,302000,304000,306100,308500,310900,312900,314400,316200,318700,321000,322900,324700,326600,328300,329500,330500,332000,333400,334600,336100,337700,339400,340900,342000,342800,343700,344700,345600,346300,347000,347500,347800,348500,348900,349000,348900,349100,349600,350100,350400,350900,351900,354000,356300,357800,358600,359300,360000,360400,360600,361100
395209,"Washington, DC",7,263900,263500,262900,262300,261800,261600,261600,261900,262400,263000,263300,263200,262900,262600,262400,262300,262400,262700,263100,263600,264200,265000,265500,266000,266600,267400,268400,269500,270600,271800,272900,274100,275400,276900,278200,279400,280800,282400,284200,286200,288400,290700,293400,296200,299400,302800,306100,309000,312000,315000,318100,321500,325200,329200,333500,338000,342700,347400,352000,356500,361000,365400,369800,374000,378300,382500,386700,391100,395500,399900,404300,408400,412500,416500,420400,424200,428100,431900,435900,439900,443900,448100,452300,456600,460900,465200,469500,473900,478500,483400,488700,494300,500300,506600,513500,521200,530100,540000,551100,563100,575100,586800,598000,608500,618800,628700,638400,648400,658800,668600,677400,684800,690500,694700,697400,698900,699500,699500,698800,697600,695600,692700,689300,685200,680800,676700,673100,670000,668000,666700,665500,664100,662400,659600,656000,651800,647200,642500,637600,632300,627300,622200,616900,611200,605400,599200,593300,588400,584400,581300,578800,576500,574800,573200,570900,567800,563800,558800,554500,552700,553300,555100,557400,560000,560800,561700,564000,564900,564200,565700,568300,569300,569100,568900,568200,566600,565600,564500,562400,560900,561700,563700,565400,566300,566700,566500,565700,565200,564300,563100,563400,566300,569900,573100,575800,578400,580200,580900,582000,584300,587800,591200,594100,596900,600700,604500,608000,611500,614900,617900,620400,622500,625000,626800,628300,629700,631100,631800,632400,632900,633000,632900,634100,635100,634900,635600,638300,639900,640100,640200,640600,641300,642300,643200,643600,644400,645000,644800,644200,645400,647900,649800,651300,652200,652700,654400,657100,660200,663200,665700,667500,669100,670400,671300,671900,672300,673000,674500,675700,676500,677900,681600,686400,690200,691400,691500,691200,691400,692400,693700,695000
394856,"Miami-Fort Lauderdale, FL",8,179400,179200,179000,178800,178500,178400,178400,178600,179000,179600,180000,180200,180400,180500,180700,180900,181100,181500,182100,182900,183900,185100,186000,186500,186800,186800,186700,186700,186800,187200,187800,188500,189300,190300,191100,191700,192400,193100,193900,194800,195600,196500,197500,198700,200100,201700,203400,204900,206500,208000,209500,210900,212400,214000,215900,218000,220700,224000,228300,233900,241300,250100,260100,270800,281400,291100,299600,306600,312000,315800,317900,318100,316600,313900,310400,306500,303000,300300,298700,298400,299500,301700,304700,308100,311600,315100,318500,321800,325100,328600,332100,335700,339400,343200,347100,351300,355800,360900,366500,372900,379700,386900,394500,402400,410700,419400,428100,437100,446900,456900,467000,476900,486000,494100,501100,507300,512900,517900,522600,527700,532600,536800,539900,541700,542100,541500,540200,538400,536200,533900,531100,527700,523700,519200,514100,508500,502200,495500,488300,480500,471800,462500,452500,442000,431500,421400,412000,403700,396300,389200,382100,374900,368100,361900,355500,348700,341700,334500,328100,324000,321800,320600,320100,319900,319900,320400,321100,320200,318300,317200,317000,315300,312500,309700,308300,307700,306700,305000,303800,304400,306000,307400,307700,307500,307800,308600,309500,309600,309600,310100,311200,312200,313300,314600,315700,316400,317400,318600,319400,321200,324100,326700,329200,332700,337200,341700,346000,350400,354900,358500,361200,364500,367800,370600,373400,376900,380000,382600,385800,389600,393000,395000,396200,397300,398600,399800,401400,403900,406600,409100,411300,413200,415200,417900,420700,422700,424500,426600,428500,430100,432200,434600,436900,439200,440900,442900,446100,449600,452300,454200,454900,454800,455000,455100,455500,456800,458300,459800,461100,462100,463500,467200,472400,476200,478100,479800,481400,482400,483300,484400,485700
394347,"Atlanta, GA",9,181700,182300,183000,183700,184500,185300,186200,187000,187800,188600,189300,189800,190400,191000,191800,192600,193600,194500,195500,196500,197400,198500,199500,200300,201300,202500,203800,205300,206800,208400,210100,211600,213300,214900,216600,218200,220000,221900,223800,225800,227600,229400,231200,232900,234800,236700,238500,240200,241800,243500,245000,246600,248200,249800,251400,253000,254600,256200,257600,258700,259700,260500,261200,261800,262400,263100,263900,264900,266000,267200,268500,269600,270500,271300,271800,272200,272600,273100,273800,274700,275700,276700,277500,278300,278900,279400,279800,280300,280900,281600,282500,283300,284100,284800,285600,286800,288300,290000,291900,293800,295600,297200,298600,299600,300500,301600,302800,304400,306300,308300,310400,312500,314500,316500,318600,320600,322800,324700,326400,328000,329600,331100,332700,334400,336100,337600,339000,340100,341300,342500,343400,344200,345000,345300,345200,345100,345000,344700,344200,343400,342300,341000,339200,337400,335800,333700,331200,328500,325500,322700,320200,317700,315300,313000,310600,307900,305100,301700,298300,295900,294300,293300,292500,291900,290900,290500,291300,290300,287400,285700,284900,283100,280900,278400,275500,273100,271100,268700,265900,263500,262100,261000,259900,258800,257200,255300,253800,252700,252000,251500,251200,251800,252600,253400,254500,255800,257500,259900,262000,263900,265800,267800,269800,272000,274600,277400,280100,282800,285200,287600,290000,292000,294000,295800,297700,300400,303300,305400,307400,309800,311900,313400,315000,317000,318400,319000,319500,320400,321800,323500,325000,326200,327400,328100,328700,329400,330500,332100,334300,336900,339600,342300,345200,348500,351700,354800,357900,360600,363200,365500,367200,368900,370400,371100,371100,371500,372700,374400,376000,377800,380000,383600,387800,390600,392600,394700,396200,396600,396700,398000,400200
