DATE,CUURA421SA0L1E
2003-02-01,190.800
2003-03-01,191.200
2003-04-01,191.100
2003-05-01,190.300
2003-06-01,190.700
2003-07-01,190.900
2003-08-01,191.500
2003-09-01,192.100
2003-10-01,192.200
2003-11-01,192.100
2003-12-01,191.900
2004-01-01,193.300
2004-02-01,194.600
2004-03-01,195.400
2004-04-01,195.700
2004-05-01,196.300
2004-06-01,196.600
2004-07-01,196.800
2004-08-01,197.200
2004-09-01,199.200
2004-10-01,199.800
2004-11-01,200.300
2004-12-01,199.500
2005-01-01,200.400
2005-02-01,202.300
2005-03-01,203.400
2005-04-01,204.200
2005-05-01,204.400
2005-06-01,204.400
2005-07-01,204.300
2005-08-01,205.600
2005-09-01,207.300
2005-10-01,208.300
2005-11-01,208.300
2005-12-01,207.800
2006-01-01,209.600
2006-02-01,210.200
2006-03-01,211.300
2006-04-01,212.300
2006-05-01,212.800
2006-06-01,211.900
2006-07-01,212.400
2006-08-01,213.000
2006-09-01,215.100
2006-10-01,215.100
2006-11-01,215.000
2006-12-01,214.200
2007-01-01,216.196
2007-02-01,217.809
2007-03-01,218.307
2007-04-01,218.886
2007-05-01,218.837
2007-06-01,218.625
2007-07-01,219.728
2007-08-01,220.477
2007-09-01,220.807
2007-10-01,221.060
2007-11-01,221.000
2007-12-01,220.506
2008-01-01,222.048
2008-02-01,222.762
2008-03-01,223.499
2008-04-01,223.540
2008-05-01,224.626
2008-06-01,225.185
2008-07-01,225.777
2008-08-01,226.574
2008-09-01,226.771
2008-10-01,226.751
2008-11-01,226.671
2008-12-01,225.997
2009-01-01,226.702
2009-02-01,226.645
2009-03-01,227.058
2009-04-01,226.867
2009-05-01,226.742
2009-06-01,226.616
2009-07-01,227.124
2009-08-01,227.182
2009-09-01,228.038
2009-10-01,227.561
2009-11-01,226.946
2009-12-01,226.083
2010-01-01,226.473
2010-02-01,227.049
2010-03-01,227.336
2010-04-01,227.623
2010-05-01,227.967
2010-06-01,227.904
2010-07-01,227.860
2010-08-01,228.500
2010-09-01,228.657
2010-10-01,228.242
2010-11-01,227.450
2010-12-01,227.267
2011-01-01,229.027
2011-02-01,229.461
2011-03-01,230.301
2011-04-01,230.232
2011-05-01,230.152
2011-06-01,230.659
2011-07-01,230.027
2011-08-01,230.389
2011-09-01,231.100
2011-10-01,230.998
2011-11-01,230.686
2011-12-01,230.229
2012-01-01,232.025
2012-02-01,232.357
2012-03-01,233.472
2012-04-01,234.011
2012-05-01,234.033
2012-06-01,234.228
2012-07-01,234.886
2012-08-01,235.380
2012-09-01,236.132
2012-10-01,236.660
2012-11-01,236.110
2012-12-01,234.843
2013-01-01,236.321
2013-02-01,236.585
2013-03-01,237.113
2013-04-01,236.908
2013-05-01,237.043
2013-06-01,236.819
2013-07-01,236.625
2013-08-01,237.591
2013-09-01,237.654
2013-10-01,238.825
2013-11-01,238.064
2013-12-01,237.852
2014-01-01,239.084
2014-02-01,239.908
2014-03-01,240.322
2014-04-01,240.507
2014-05-01,240.366
2014-06-01,240.460
2014-07-01,240.981
2014-08-01,241.574
2014-09-01,242.016
2014-10-01,242.360
2014-11-01,241.842
2014-12-01,241.491
2015-01-01,242.003
2015-02-01,242.806
2015-03-01,243.957
2015-04-01,244.138
2015-05-01,244.800
2015-06-01,245.236
2015-07-01,245.394
2015-08-01,245.896
2015-09-01,246.488
2015-10-01,247.539
2015-11-01,248.120
2015-12-01,248.140
2016-01-01,249.652
2016-02-01,251.059
2016-03-01,251.438
2016-04-01,251.672
2016-05-01,253.179
2016-06-01,253.074
2016-07-01,253.042
2016-08-01,253.775
2016-09-01,253.898
2016-10-01,254.388
2016-11-01,253.711
2016-12-01,253.882
2017-01-01,256.209
2017-02-01,257.518
2017-03-01,257.903
2017-04-01,258.472
2017-05-01,258.872
2017-06-01,258.924
2017-07-01,260.020
2017-08-01,260.698
2017-09-01,261.277
2017-10-01,262.829
2017-11-01,262.656
2017-12-01,262.960
