DATE,CUURA102SA0L1E
2003-08-01,205.000
2003-09-01,.
2003-10-01,203.000
2003-11-01,.
2003-12-01,201.400
2004-01-01,.
2004-02-01,204.000
2004-03-01,.
2004-04-01,207.800
2004-05-01,.
2004-06-01,209.400
2004-07-01,.
2004-08-01,211.300
2004-09-01,.
2004-10-01,212.800
2004-11-01,.
2004-12-01,209.900
2005-01-01,.
2005-02-01,212.400
2005-03-01,.
2005-04-01,215.200
2005-05-01,.
2005-06-01,216.300
2005-07-01,.
2005-08-01,217.000
2005-09-01,.
2005-10-01,216.700
2005-11-01,.
2005-12-01,215.700
2006-01-01,.
2006-02-01,219.000
2006-03-01,.
2006-04-01,221.300
2006-05-01,.
2006-06-01,222.200
2006-07-01,.
2006-08-01,224.400
2006-09-01,.
2006-10-01,222.500
2006-11-01,.
2006-12-01,222.400
2007-01-01,.
2007-02-01,223.680
2007-03-01,.
2007-04-01,224.437
2007-05-01,.
2007-06-01,224.450
2007-07-01,.
2007-08-01,227.296
2007-09-01,.
2007-10-01,228.332
2007-11-01,.
2007-12-01,226.768
2008-01-01,.
2008-02-01,228.929
2008-03-01,.
2008-04-01,230.601
2008-05-01,.
2008-06-01,231.181
2008-07-01,.
2008-08-01,232.104
2008-09-01,.
2008-10-01,231.177
2008-11-01,.
2008-12-01,229.523
2009-01-01,.
2009-02-01,231.660
2009-03-01,.
2009-04-01,233.519
2009-05-01,.
2009-06-01,233.677
2009-07-01,.
2009-08-01,236.496
2009-09-01,.
2009-10-01,236.623
2009-11-01,.
2009-12-01,235.328
2010-01-01,.
2010-02-01,236.942
2010-03-01,.
2010-04-01,237.721
2010-05-01,.
2010-06-01,238.396
2010-07-01,.
2010-08-01,239.243
2010-09-01,.
2010-10-01,239.172
2010-11-01,.
2010-12-01,237.331
2011-01-01,.
2011-02-01,239.286
2011-03-01,.
2011-04-01,239.510
2011-05-01,.
2011-06-01,240.806
2011-07-01,.
2011-08-01,242.981
2011-09-01,.
2011-10-01,243.065
2011-11-01,.
2011-12-01,242.229
2012-01-01,.
2012-02-01,243.017
2012-03-01,.
2012-04-01,244.246
2012-05-01,.
2012-06-01,245.678
2012-07-01,.
2012-08-01,247.763
2012-09-01,.
2012-10-01,247.794
2012-11-01,.
2012-12-01,246.571
2013-01-01,.
2013-02-01,248.049
2013-03-01,.
2013-04-01,249.109
2013-05-01,.
2013-06-01,250.068
2013-07-01,.
2013-08-01,251.190
2013-09-01,.
2013-10-01,250.744
2013-11-01,.
2013-12-01,250.534
2014-01-01,.
2014-02-01,251.717
2014-03-01,.
2014-04-01,252.458
2014-05-01,.
2014-06-01,253.898
2014-07-01,.
2014-08-01,254.745
2014-09-01,.
2014-10-01,255.913
2014-11-01,.
2014-12-01,254.957
2015-01-01,.
2015-02-01,256.614
2015-03-01,.
2015-04-01,257.463
2015-05-01,.
2015-06-01,258.494
2015-07-01,.
2015-08-01,258.122
2015-09-01,.
2015-10-01,258.771
2015-11-01,.
2015-12-01,257.405
2016-01-01,.
2016-02-01,259.638
2016-03-01,.
2016-04-01,261.519
2016-05-01,.
2016-06-01,261.529
2016-07-01,.
2016-08-01,261.474
2016-09-01,.
2016-10-01,263.211
2016-11-01,.
2016-12-01,262.508
2017-01-01,.
2017-02-01,264.208
2017-03-01,.
2017-04-01,263.287
2017-05-01,.
2017-06-01,263.217
2017-07-01,.
2017-08-01,264.341
2017-09-01,.
2017-10-01,264.177
2017-11-01,.
2017-12-01,262.820
2018-01-01,.
2018-02-01,263.583
2018-03-01,.
2018-04-01,265.848
2018-05-01,.
2018-06-01,266.052
2018-07-01,.
2018-08-01,266.911
2018-09-01,.
2018-10-01,267.021
